text
ターンも今週聴けてないから聴きたいけど今週澤部さんいないのかあ〜〜〜…そうかあ…………最近あまり自分の好きで聴いたり見たりしてるものでコロナの影響が如実に出てることが少なかったからつい平和ボケしてしまうけども…まだまだ全然コロナ禍なのよな…
澤部が株やるだけであの澤部が！？って言われるの可哀想過ぎてわらう
ハライチ澤部、コロナ濃厚接触者発表するもニュースにならず！心配されたのは櫻坂番組のことだけだった「この世界どうかしてる」 –  
M-1ツアーでハライチ出てないの叩かれてるけど、見取り図が1公演しか出れないのに、それよりテレビ出演数が多いハライチが出れないよ。2021年は見取り図がコンビ合計で200本で、ハライチは澤部だけで300本テレビ出てるわけで。午前中に一回だけ、前乗りすれば可能かもだけど、吉本が金出さないだろ。
澤部の身長
"眉毛とコメカミの距離が
ハライチ澤部さんなんよな"
@tbsr_ht 澤部さんのうちで踊ろう期待して待ってます。
澤部の家でも飲んだ。。。 
"『相葉マナブ』
2/27(日) テレ朝 18:00〜19:00
▽マナブ！小田原で超美味しいかまぼこを作りたい！＆釜-1グランプリ
☆出演者:相葉雅紀、DAIGO、小峠英二、澤部佑

#DAIGO "
"大規模改修を機に
網戸を、3枚買ったら
泣きながらした残業代がなくなったし、足も出てる。

でも、
スムーズに動くし
きれいだし
気持ちも良い。

澤部みたいな丸坊主が設置しましょうと言うたけど、自分で出来たし。"
"よし、LINE証券もやってみよう！
あの澤部も始めたみたいだし！"
今日澤部さん出るんけな
"今週はハライチの澤部とおぎやはぎの小木が濃厚接触者になって、岩井と矢作で3時間ぶっ続けで放送してたけど違和感なくて普通に面白かった。

ハライチのターン！ | TBSラジオ


#radiko #矢作兼 #おぎやはぎ #meganebiiki #ハライチ #澤部佑 #岩井勇気 #ハライチのターン"
ハライチ澤部、コロナ濃厚接触者発表するもニュースにならず！心配されたのは櫻坂番組のことだけだった「この世界どうかしてる」 –  
"バスケ部だった男性芸能人 田村裕 永井大 
ゆず北川 なかやまきんにくん 中村昌也 金子ノブアキ ハライチ澤部 ウエンツ 小池徹平 福士蒼汰 松坂桃李  デューク更家 速水もこみち ALFEE高見沢 柳葉敏郎 松山千春 相葉雅紀 松田悟志 山田カントリー浅井 横山裕 藤ヶ谷太輔"
ジャイアント白田と篠原信一の大食い柔道・澤部佑 
ポップハライチ、って澤部マナブ的な番組だよね
"野田軍団最高だな！風紀委員枠=ほんこんさんに岩井さん入ってんのがやばいのでオーディション全部やってほしい。
YouTubeの演技審査も面白かった！
天才枠が天才すぎるしツッコミ枠の間も天才だったしゆいはんちゃん最高だった。
澤部さんおめでとう🎉🎊
 #しくじり先生"
ハライチ澤部、コロナ濃厚接触者発表するもニュースにならず！心配されたのは櫻坂番組のことだけだった「この世界どうかしてる」 –  
今日は鎌倉へ。お昼は海鮮丼、そして豆柴カフェへより、澤部さんの番組の「なりゆき街道旅」で購入したがま口を購入しちゃいました😃 
"@__reicha_ 澤部さんとのやつね😁！
良いこと言うなと思った♪"
